epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.4921,2.34456,4.31852,2.35158,0.00225,0.60417,0.02405,0.01026,1.99744,5.22246,2.466,8.335e-05,8.335e-05,8.335e-05
2,145.411,1.75536,3.75289,1.90006,0.00279,0.71875,0.17045,0.11544,1.56029,4.64322,1.81959,0.000179739,0.000179739,0.000179739
3,201.059,1.50265,3.06925,1.62742,0.00315,0.83333,0.24611,0.15108,1.50018,4.23655,1.71312,0.000272168,0.000272168,0.000272168
4,248.768,1.43441,2.5755,1.52015,0.00292,0.66667,0.26989,0.19257,1.46732,4.23835,1.63888,0.000360635,0.000360635,0.000360635
5,294.945,1.34403,2.37988,1.45536,0.0027,0.63542,0.26202,0.17136,1.47917,4.16267,1.69484,0.000445142,0.000445142,0.000445142
6,335.956,1.32679,2.22255,1.43692,1,0.12328,0.30881,0.15486,1.72797,4.11332,1.77406,0.000525688,0.000525688,0.000525688
7,376.747,1.43056,2.47899,1.50863,0.73937,0.20147,0.28878,0.15459,1.83261,4.16781,1.81124,0.000602274,0.000602274,0.000602274
8,421.908,1.34626,2.33789,1.48218,1,0.12853,0.35207,0.1691,1.76812,4.01438,1.8044,0.000674898,0.000674898,0.000674898
9,463.121,1.3512,2.22405,1.4203,0.91613,0.15524,0.264,0.14067,1.91902,4.04663,1.9814,0.000743562,0.000743562,0.000743562
10,503.627,1.23776,2.05937,1.33376,0.7551,0.15625,0.22179,0.10852,1.83925,4.00294,2.02763,0.000808265,0.000808265,0.000808265
11,547.05,1.2627,1.93588,1.33273,0.77959,0.15625,0.21425,0.1409,1.76472,3.82667,1.95392,0.000869007,0.000869007,0.000869007
12,588.782,1.36002,2.10742,1.41485,0.99985,0.1875,0.29336,0.14604,1.65427,3.74794,1.87345,0.000925788,0.000925788,0.000925788
13,631.408,1.22104,2.06902,1.37685,0.59657,0.26967,0.30973,0.15022,1.85162,3.78151,2.05916,0.000978609,0.000978609,0.000978609
14,672.6,1.41041,1.99488,1.45704,0.40891,0.32292,0.29171,0.16131,1.75076,3.5561,1.91027,0.00102747,0.00102747,0.00102747
15,711.114,1.33046,2.02453,1.44048,0.39278,0.43085,0.29724,0.16565,1.79119,3.72953,1.79717,0.00107237,0.00107237,0.00107237
16,749.724,1.42456,2.07269,1.46013,0.42067,0.42469,0.3395,0.18723,1.68848,3.44411,1.65089,0.00111331,0.00111331,0.00111331
17,788.421,1.34126,1.92845,1.40567,0.23872,0.36458,0.34018,0.19991,1.62039,3.46041,1.66012,0.00113889,0.00113889,0.00113889
18,827.414,1.36958,1.88707,1.44321,0.73901,0.44792,0.49467,0.24553,1.7683,3.17134,1.77473,0.00110589,0.00110589,0.00110589
19,866.305,1.35427,1.85547,1.35239,0.72626,0.43532,0.48291,0.24222,1.83704,3.1197,1.86751,0.00107288,0.00107288,0.00107288
20,905.446,1.21104,1.64808,1.29933,0.43749,0.25,0.37129,0.18808,1.70093,3.49202,1.75695,0.00103987,0.00103987,0.00103987
21,943.846,1.3041,1.78394,1.40566,0.44968,0.33333,0.39611,0.19197,1.75375,3.32076,1.82065,0.00100687,0.00100687,0.00100687
22,981.911,1.32039,1.88908,1.38393,0.45334,0.35417,0.36064,0.1998,1.79869,3.29042,1.9377,0.000973861,0.000973861,0.000973861
23,1020.2,1.16525,1.59058,1.26106,0.58205,0.32292,0.40862,0.23164,1.64936,3.22336,1.78764,0.000940855,0.000940855,0.000940855
24,1057.98,1.20459,1.57931,1.31248,0.49688,0.46373,0.42993,0.23897,1.67628,3.13781,1.87407,0.000907848,0.000907848,0.000907848
25,1096.21,1.09051,1.41162,1.2344,0.46335,0.47917,0.42569,0.23848,1.63866,3.09938,1.84294,0.000874842,0.000874842,0.000874842
26,1135.19,1.12979,1.57055,1.30748,0.45079,0.47917,0.36708,0.19736,1.77146,3.13083,1.94512,0.000841835,0.000841835,0.000841835
27,1173.44,1.15893,1.44253,1.23437,0.53346,0.47917,0.39945,0.2133,1.77097,2.93276,1.93669,0.000808828,0.000808828,0.000808828
